ID,Wt (mg),Ala,Arg,Asx,Glx,Gly,His,Ile,Leu,Lys,Met,Phe,Pro,Ser,Thr,Tyr,Val
IC0_5_1,3.08,101.30,18.70,40.00,163.12,44.68,21.30,43.12,118.44,16.62,11.43,36.36,104.42,56.10,45.19,23.38,42.60
IC0_5_2,3.16,114.43,21.77,41.52,185.32,60.76,22.78,45.06,126.08,17.22,12.66,39.49,108.86,61.27,45.57,25.82,45.06
IC0_5_3,2.87,120.98,16.72,44.60,195.68,57.98,22.30,47.94,131.01,16.72,12.82,40.14,112.06,63.55,49.06,27.32,46.27
IC14_6_1,2.81,122.42,26.19,52.38,178.79,70.04,24.48,47.83,125.84,26.76,13.10,39.86,113.31,66.62,56.94,25.62,52.95
IC14_6_2,2.97,109.90,24.24,45.79,167.00,68.96,22.63,43.64,115.29,23.70,12.93,38.79,104.51,65.72,52.26,23.70,49.02
IC14_6_3,3.01,104.19,30.83,55.28,148.31,79.73,23.92,40.40,96.21,35.08,13.29,35.61,106.84,60.07,55.28,21.79,51.03
IC14_7_1,3.20,82.50,18.50,34.00,122.50,46.00,19.00,30.50,82.00,19.00,13.00,26.50,90.50,48.00,42.50,18.00,37.00
IC14_7_2,3.01,83.99,19.67,38.80,125.45,57.94,20.20,32.43,83.46,22.86,13.82,27.11,90.90,51.56,46.25,18.60,40.93
IC14_7_3,3.09,82.33,20.19,36.25,115.99,57.48,18.64,30.03,81.29,20.71,13.46,25.89,83.88,45.57,42.98,18.12,37.80
IC14_8_1,3.07,75.57,25.02,38.05,104.23,59.41,17.72,27.62,64.10,29.19,12.51,24.50,70.88,44.82,44.30,16.68,38.57
IC14_8_2,3.00,73.07,18.13,34.13,105.60,48.53,17.07,27.20,70.40,21.33,13.33,24.00,75.73,42.13,42.67,16.00,36.27
IC14_8_3,2.96,70.81,17.30,32.43,92.97,50.81,15.68,24.32,62.16,22.16,12.43,21.62,68.65,40.54,44.32,16.22,33.51
IC14_9_1,3.14,115.67,25.48,48.41,161.53,70.83,21.91,43.82,111.59,31.08,14.78,36.69,96.31,64.20,57.58,23.44,49.94
IC14_9_2,3.15,149.33,25.40,54.35,224.51,74.16,23.37,58.92,153.40,25.90,20.83,48.76,123.94,76.70,59.43,33.02,58.92
IC14_9_3,3.07,129.77,25.02,50.55,194.92,69.32,23.45,51.07,135.50,26.06,16.68,44.82,111.53,70.36,55.77,28.14,53.16
IC14_10_1,3.19,76.74,19.06,32.10,107.84,54.17,18.06,26.58,72.23,19.56,16.05,23.07,72.23,42.13,40.63,17.55,36.11
IC14_10_2,2.95,72.14,21.15,33.08,101.97,50.98,17.90,25.49,65.08,23.32,13.02,22.78,68.34,42.31,40.68,17.36,34.71
IC14_11_1,3.05,90.23,23.08,44.59,121.70,65.57,18.89,34.62,84.98,26.75,13.11,29.38,89.70,51.93,48.79,18.89,44.59
IC14_11_2,2.99,79.73,19.80,36.92,103.81,59.40,17.66,27.83,70.10,25.15,11.24,24.62,78.66,44.95,46.02,15.52,39.60
IC14_11_3,2.99,93.11,21.40,40.67,124.15,61.00,19.26,32.64,87.76,24.08,12.84,28.90,89.90,51.37,48.70,19.26,42.81
IC14_12_2,3.09,151.20,20.71,54.37,221.10,66.80,23.82,61.10,165.70,19.68,14.50,51.78,132.04,76.63,58.51,32.62,55.92
IC14_12_3,3.19,134.42,19.56,46.65,195.11,54.17,22.57,54.67,149.97,19.56,13.54,44.14,118.87,71.22,57.18,27.59,52.66
IC14_13_1,2.93,113.58,22.39,49.15,164.91,57.88,21.30,43.69,114.13,25.67,14.20,37.68,102.66,61.71,55.15,25.67,49.69
IC14_13_2,2.88,127.22,23.89,56.11,176.11,74.44,23.89,51.67,131.67,28.33,14.44,42.78,116.67,67.22,56.67,27.78,55.56
IC14_13_3,3.20,114.00,25.00,51.50,155.50,71.50,23.00,44.50,108.50,30.00,14.00,37.50,100.00,63.00,57.00,23.00,52.00
JV0_14_1,3.11,79.74,15.43,33.95,109.58,45.27,16.98,29.32,79.74,19.55,12.35,24.69,71.00,43.22,41.67,16.46,36.01
JV0_14_2,3.08,89.87,23.90,40.52,121.04,58.70,19.74,32.21,77.92,27.53,12.47,28.57,71.69,47.79,46.23,18.18,41.56
JV0_14_3,3.13,97.12,18.91,40.38,134.44,52.14,19.42,37.83,100.19,20.45,13.80,29.65,81.79,54.19,49.58,21.47,41.41
JV0_15_1,3.03,149.97,23.23,52.81,215.97,59.14,24.82,61.78,166.86,20.07,17.95,49.11,130.43,77.62,61.78,31.68,59.14
JV0_15_2,3.01,127.04,18.60,49.97,181.79,58.47,20.73,54.22,143.52,20.20,14.88,41.99,111.10,64.85,53.16,26.58,51.03
JV0_15_3,3.16,143.80,17.22,50.63,197.47,61.77,23.29,58.23,153.92,19.75,15.70,45.57,120.51,70.38,59.24,29.87,54.68
JV0_16_1,3.04,121.05,22.11,47.89,182.63,61.05,23.68,47.89,135.26,23.16,15.26,42.63,116.32,65.79,55.26,28.42,51.58
JV0_16_2,3.13,132.40,27.09,56.23,204.98,76.68,27.09,51.63,132.40,30.16,15.85,42.94,122.17,71.05,59.30,27.09,57.76
JV0_16_3,3.02,122.38,24.90,51.92,172.72,64.64,23.31,51.92,135.10,26.49,15.89,41.32,117.09,66.23,53.51,28.08,51.92
JV14_17_1,2.98,110.07,17.72,42.42,169.13,57.99,20.94,43.49,117.58,21.48,13.42,37.58,102.55,59.60,53.69,24.70,50.47
JV14_17_2,2.99,126.29,19.26,44.95,183.01,65.28,24.08,48.70,133.78,20.33,13.91,42.27,113.98,66.35,55.65,26.76,54.05
JV14_17_3,3.12,106.67,16.92,40.51,161.03,46.67,21.54,44.62,126.15,15.38,12.82,37.44,106.67,58.97,49.23,24.62,46.15
JV14_18_1,3.10,116.13,26.32,48.00,164.65,67.10,24.26,47.48,120.26,26.84,12.39,39.74,111.48,64.00,54.19,24.77,53.16
JV14_18_2,2.95,134.51,22.24,54.24,197.97,73.76,24.41,55.32,147.53,23.86,13.02,47.73,122.58,80.27,62.92,29.83,57.49
JV14_18_3,3.11,122.96,25.72,48.36,175.43,64.82,25.21,49.39,125.02,25.72,12.86,40.64,110.61,64.82,55.56,25.72,54.53
JV14_19_1,2.88,70.56,17.22,36.11,101.67,54.44,17.78,27.78,68.33,23.33,11.11,23.89,65.00,42.22,41.11,16.11,38.33
JV14_19_2,3.08,76.88,17.14,37.92,104.42,59.22,17.66,28.05,68.57,23.38,10.91,22.86,67.01,42.60,43.12,15.58,38.44
JV14_19_3,3.01,60.60,24.45,28.17,95.15,37.74,19.14,17.54,62.72,43.59,10.10,22.33,58.47,36.15,28.17,13.29,29.77
JV14_20_1,2.99,75.45,13.91,29.43,117.19,43.34,17.66,29.97,85.62,14.98,11.24,26.22,79.20,42.81,42.27,18.19,36.92
JV14_20_2,3.06,81.05,15.16,32.42,120.78,48.63,17.78,31.37,82.61,17.78,11.50,25.10,76.86,44.44,41.31,17.78,37.12
JV14_21_1,3.19,95.80,17.55,35.11,133.42,61.69,21.07,37.12,101.32,21.07,13.04,31.10,90.28,56.18,50.16,21.07,45.64
JV14_21_2,2.98,94.50,17.72,36.51,138.52,55.84,20.40,37.05,100.94,19.33,11.81,31.68,91.28,52.08,48.86,19.87,44.03
JV14_22_1,2.85,104.42,20.21,42.67,136.42,69.61,20.77,38.74,99.93,26.95,12.91,32.56,85.89,53.89,56.14,21.33,48.84
JV14_22_2,2.82,93.62,19.29,35.74,133.33,56.17,19.86,35.18,95.89,20.43,12.48,29.50,82.84,49.36,47.66,20.43,43.12
JV14_22_3,3.04,85.26,18.42,34.21,125.26,52.63,18.95,34.21,94.21,18.42,12.11,28.42,83.16,47.37,45.79,18.95,41.05
JV14_23_1,2.84,73.80,15.21,29.86,101.41,43.94,16.90,27.04,73.24,16.90,11.27,22.54,70.42,40.00,41.69,15.77,34.93
JV14_23_2,3.18,74.47,14.09,31.70,107.67,46.79,16.60,28.18,76.48,17.11,11.07,24.15,68.93,39.25,41.26,16.10,34.72
JV14_23_3,3.01,72.82,14.35,30.30,100.47,39.34,15.95,27.64,74.95,15.42,11.16,23.92,68.04,39.34,38.80,15.95,34.55
JV14_24_1,2.94,121.36,20.68,47.89,189.39,66.39,23.40,52.24,135.51,25.03,13.06,41.90,113.20,65.31,59.86,26.67,54.42
JV14_24_2,3.11,111.13,20.06,38.59,151.77,55.05,19.04,45.79,125.02,20.06,10.80,35.50,97.75,57.11,50.42,24.69,47.33
JV14_24_3,3.10,130.58,21.68,51.61,208.52,60.39,23.23,56.26,156.39,21.16,12.90,45.94,118.71,70.19,56.77,28.90,55.74
