ID,Wt (mg),Ala,Arg,Asx,Glx,Gly,His,Ile,Leu,Lys,Met,Phe,Pro,Ser,Thr,Tyr,Val
IC0_1_1,3.20,99.00,20.50,38.50,149.00,51.50,19.00,34.50,96.00,17.50,12.50,32.00,90.00,53.00,40.50,21.00,39.00
IC0_1_2,2.86,91.19,22.38,39.72,137.62,55.38,19.02,31.89,85.59,21.82,12.31,29.65,80.56,52.59,46.43,20.14,39.72
IC0_1_3,2.92,111.78,23.01,42.19,165.48,56.44,21.92,40.00,107.95,21.92,14.25,33.97,100.27,59.18,49.32,24.66,43.29
IC0_2_1,2.82,86.81,23.26,38.58,128.79,56.17,20.43,30.07,75.46,23.83,11.91,27.23,77.73,50.50,44.26,18.72,39.15
IC0_2_2,2.93,84.64,20.20,35.49,114.13,50.24,17.47,29.49,78.09,21.84,12.56,26.21,80.82,48.60,43.14,18.57,36.59
IC0_2_3,2.80,74.86,17.14,29.71,114.86,48.57,16.57,26.86,72.00,18.86,10.86,24.00,72.00,41.71,39.43,17.14,33.71
IC0_3_1,2.91,76.43,15.40,29.69,106.12,43.44,15.95,27.49,76.98,17.04,10.45,23.64,73.13,41.79,36.84,17.04,31.89
IC0_3_2,3.04,75.26,15.26,30.53,107.89,42.11,15.26,27.37,75.79,14.74,10.53,23.68,71.05,42.11,36.84,16.32,33.16
IC0_3_3,3.14,86.11,19.36,34.65,122.80,49.43,18.34,29.55,78.98,19.36,10.70,25.99,75.92,47.39,42.29,18.34,35.16
IC0_4_1,3.12,89.74,18.97,37.44,132.31,53.33,20.00,32.82,91.28,18.46,12.82,29.23,88.72,48.72,45.64,20.51,40.00
IC0_4_2,3.05,87.08,19.93,36.20,125.90,57.70,19.41,32.52,87.61,22.03,13.64,27.28,86.03,50.36,46.69,19.41,40.92
IC0_4_3,2.94,87.07,18.50,35.92,137.14,52.24,20.68,29.93,83.27,19.59,13.06,28.30,82.18,47.89,42.99,19.05,40.27
