ID,Wt (mg),Ala,Arg,Asn,Asp,Gln,Glu,Gly,His,Ile,Leu,Lys,Met,Phe,Pro,Ser,Trp,Thr,Tyr,Val,Cys
IC0_1_1,5.33,0.450,0.045,0.450,0.330,0.075,0.360,0.015,0.060,0.015,0.030,0.075,0.015,0.015,1.411,0.045,0.030,0.045,0.060,0.045,0.000
IC0_1_2,5.69,0.928,0.070,1.111,0.731,0.042,0.844,0.169,0.098,0.042,0.042,0.141,0.028,0.042,3.529,0.098,0.056,0.084,0.112,0.098,0.000
IC0_1_3,5.35,0.927,0.090,0.912,0.807,0.030,1.047,0.105,0.090,0.045,0.045,0.164,0.030,0.045,3.948,0.090,0.060,0.090,0.120,0.105,0.000
IC0_2_1,5.24,0.687,0.092,0.427,1.023,0.031,1.695,0.122,0.092,0.061,0.061,0.168,0.015,0.046,3.023,0.153,0.076,0.092,0.443,0.137,0.000
IC0_2_2,5.97,0.710,0.094,0.362,0.951,0.027,1.434,0.121,0.080,0.054,0.054,0.188,0.013,0.040,3.846,0.188,0.067,0.107,0.348,0.134,0.000
IC0_2_3,5.1,0.706,0.094,0.408,0.988,0.063,1.647,0.173,0.094,0.078,0.063,0.188,0.016,0.031,3.341,0.157,0.078,0.094,0.424,0.157,0.000
IC0_3_1,5.47,0.834,0.102,1.009,1.170,0.029,0.936,0.146,0.146,0.044,0.059,0.234,0.029,0.044,1.887,0.132,0.059,0.088,0.132,0.146,0.000
IC0_3_2,5.22,0.935,0.123,1.119,1.303,0.046,1.057,0.184,0.123,0.061,0.061,0.276,0.031,0.031,2.238,0.307,0.061,0.123,0.138,0.153,0.015
IC0_3_3,5.17,0.681,0.108,0.913,1.052,0.031,0.774,0.062,0.093,0.046,0.046,0.217,0.031,0.031,1.594,0.124,0.046,0.093,0.108,0.124,0.015
IC0_4_1,5.4,0.859,0.119,1.126,0.756,0.044,1.259,0.044,0.163,0.044,0.059,0.311,0.030,0.044,0.607,0.163,0.074,0.119,0.163,0.133,0.000
IC0_4_2,5.49,0.772,0.131,1.195,0.729,0.029,1.078,0.102,0.189,0.044,0.044,0.364,0.029,0.044,0.729,0.189,0.073,0.131,0.189,0.131,0.015
IC0_4_3,5.85,0.738,0.123,0.916,0.725,0.027,1.162,0.055,0.150,0.041,0.041,0.315,0.027,0.027,0.643,0.164,0.055,0.109,0.137,0.109,0.000
IC0_5_1,5.79,0.677,0.083,1.617,0.732,0.055,0.760,0.097,0.097,0.041,0.041,0.152,0.041,0.041,4.104,0.097,0.041,0.083,0.138,0.111,0.000
IC0_5_2,5.28,0.561,0.076,1.667,0.636,0.045,0.652,0.045,0.076,0.030,0.045,0.152,0.030,0.030,2.591,0.076,0.030,0.076,0.106,0.091,0.000
IC0_5_3,5.22,0.889,0.107,2.851,1.073,0.061,1.011,0.153,0.107,0.046,0.061,0.215,0.046,0.046,4.628,0.153,0.031,0.107,0.169,0.153,0.000
IC14_6_1,5.43,0.869,0.088,2.180,0.928,0.029,0.604,0.103,0.103,0.044,0.059,0.280,0.029,0.044,7.219,0.133,0.044,0.103,0.147,0.133,0.000
IC14_6_2,5.3,0.906,0.091,2.279,1.147,0.030,0.558,0.196,0.121,0.045,0.075,0.226,0.030,0.060,7.155,0.287,0.045,0.121,0.196,0.136,0.000
IC14_6_3,5.93,0.863,0.067,2.105,1.025,0.067,0.567,0.283,0.094,0.054,0.067,0.216,0.027,0.054,7.272,0.243,0.040,0.121,0.175,0.135,0.000
