ID,Wt (mg),Ala,Arg,Asn,Asp,Gln,Glu,Gly,His,Ile,Leu,Lys,Met,Phe,Pro,Ser,Trp,Thr,Tyr,Val,Cys
IC14_7_1,5.44,0.794,0.118,1.338,0.868,0.044,0.794,0.132,0.176,0.044,0.059,0.426,0.015,0.044,7.456,0.162,0.044,0.103,0.235,0.118,0.000
IC14_7_2,5.82,0.962,0.124,1.320,1.017,0.234,0.921,0.179,0.192,0.055,0.069,0.577,0.014,0.041,8.454,0.151,0.055,0.082,0.192,0.151,0.000
IC14_7_3,5.49,0.772,0.087,1.209,0.962,0.073,0.918,0.277,0.146,0.058,0.073,0.321,0.015,0.044,5.858,0.335,0.058,0.131,0.189,0.146,0.015
IC14_8_1,5.18,1.035,0.170,1.220,1.019,0.062,0.834,0.293,0.263,0.062,0.093,0.819,0.031,0.077,5.390,0.402,0.077,0.154,0.263,0.154,0.015
IC14_8_2,5.74,0.794,0.139,0.990,0.990,0.042,0.808,0.167,0.153,0.042,0.056,0.530,0.028,0.042,4.348,0.111,0.056,0.084,0.209,0.125,0.000
IC14_8_3,6,0.933,0.160,1.200,0.933,0.027,0.720,0.213,0.200,0.040,0.067,0.680,0.027,0.053,6.093,0.160,0.053,0.107,0.227,0.133,0.013
IC14_9_1,5.73,1.117,0.084,0.963,1.229,0.112,1.019,0.265,0.140,0.056,0.098,0.237,0.042,0.070,11.490,0.209,0.056,0.154,0.265,0.070,0.014
IC14_9_2,5.45,0.925,0.073,0.719,0.763,0.176,1.160,0.191,0.132,0.059,0.103,0.176,0.029,0.059,7.457,0.176,0.044,0.088,0.191,0.147,0.015
IC14_9_3,5.13,0.889,0.078,0.593,0.655,0.187,0.702,0.140,0.094,0.047,0.078,0.140,0.031,0.047,5.302,0.172,0.047,0.109,0.156,0.109,0.016
IC14_10_1,5.01,1.150,0.160,1.134,1.405,0.032,0.990,0.367,0.160,0.064,0.064,0.671,0.048,0.048,4.216,0.271,0.080,0.144,0.271,0.176,0.000
IC14_10_2,5.26,1.186,0.213,1.217,1.414,0.030,1.065,0.228,0.167,0.046,0.061,0.654,0.046,0.061,4.046,0.137,0.091,0.122,0.289,0.183,0.000
IC14_10_3,5.23,1.132,0.184,1.208,1.331,0.046,1.010,0.275,0.153,0.046,0.076,0.688,0.046,0.061,4.772,0.168,0.092,0.122,0.260,0.184,0.000
IC14_11_1,5.89,1.154,0.095,1.331,1.195,0.095,0.869,0.177,0.109,0.054,0.081,0.217,0.027,0.054,8.638,0.190,0.054,0.109,0.190,0.122,0.014
IC14_11_2,5.24,1.405,0.107,1.420,1.282,0.168,1.191,0.183,0.153,0.046,0.076,0.275,0.031,0.061,9.115,0.290,0.061,0.137,0.198,0.137,0.015
IC14_11_3,5.76,1.292,0.083,1.472,1.500,0.292,1.042,0.278,0.153,0.056,0.083,0.222,0.028,0.056,9.292,0.375,0.069,0.153,0.236,0.153,0.014
IC14_12_1,5.33,1.081,0.105,0.946,0.450,0.030,0.645,0.105,0.165,0.045,0.060,0.240,0.030,0.045,6.469,0.120,0.045,0.105,0.150,0.120,0.015
IC14_12_2,5.11,0.986,0.110,1.049,0.501,0.047,0.532,0.125,0.172,0.031,0.047,0.235,0.031,0.047,5.746,0.125,0.047,0.078,0.157,0.110,0.000
IC14_12_3,5.89,1.100,0.095,1.114,0.666,0.027,0.584,0.217,0.177,0.041,0.054,0.258,0.027,0.054,7.090,0.285,0.054,0.136,0.177,0.122,0.000
IC14_13_1,5.3,1.449,0.181,5.162,0.966,0.045,0.800,0.287,0.287,0.060,0.075,0.709,0.045,0.060,10.355,0.302,0.075,0.226,0.226,0.211,0.015
IC14_13_2,5.34,1.184,0.150,4.270,0.869,0.045,0.719,0.300,0.285,0.045,0.075,0.719,0.045,0.060,9.109,0.300,0.075,0.270,0.240,0.180,0.015
IC14_13_3,5.15,0.746,0.109,2.563,0.652,0.031,0.497,0.202,0.155,0.047,0.047,0.388,0.031,0.047,5.452,0.171,0.062,0.155,0.171,0.124,0.000
JV0_14_1,5.14,0.949,0.218,2.039,0.638,0.047,0.778,0.233,0.233,0.078,0.093,0.436,0.031,0.093,3.082,0.202,0.109,0.156,0.218,0.171,0.016
JV0_14_2,5.24,0.901,0.214,2.519,0.702,0.031,0.656,0.137,0.229,0.061,0.076,0.351,0.031,0.092,2.794,0.153,0.122,0.168,0.214,0.153,0.015
JV0_14_3,5.69,0.576,0.112,1.448,0.478,0.028,0.464,0.084,0.155,0.042,0.056,0.211,0.014,0.056,2.011,0.098,0.070,0.098,0.141,0.112,0.014
JV0_15_1,5.48,1.533,0.088,0.861,1.241,0.861,1.883,0.248,0.102,0.058,0.102,0.161,0.058,0.088,8.453,0.482,0.044,0.131,0.146,0.161,0.015
JV0_15_2,5.64,2.369,0.085,0.865,1.333,1.759,2.099,0.454,0.156,0.085,0.128,0.170,0.085,0.113,7.234,1.021,0.043,0.227,0.170,0.199,0.014
JV0_15_3,5.13,1.481,0.078,1.045,1.372,1.060,1.903,0.250,0.125,0.062,0.094,0.172,0.062,0.109,8.904,0.390,0.047,0.156,0.172,0.172,0.016
JV0_16_1,5.37,1.222,0.119,1.609,1.475,0.060,0.953,0.238,0.149,0.060,0.074,0.223,0.015,0.074,11.024,0.447,0.074,0.209,0.194,0.164,0.015
JV0_16_2,5.17,0.712,0.077,0.975,0.851,0.046,0.634,0.108,0.077,0.031,0.046,0.124,0.015,0.046,6.050,0.124,0.031,0.077,0.108,0.093,0.015
JV0_16_3,5.87,0.899,0.095,1.376,1.022,0.055,0.872,0.109,0.109,0.041,0.068,0.164,0.014,0.055,7.877,0.164,0.055,0.123,0.136,0.109,0.014
JV14_17_1,5.11,1.331,0.078,1.174,1.894,0.031,0.971,0.235,0.141,0.063,0.063,0.157,0.047,0.078,4.493,0.172,0.094,0.172,0.204,0.172,0.000
JV14_17_2,5.3,0.860,0.060,0.709,1.162,0.030,0.543,0.181,0.106,0.030,0.045,0.121,0.030,0.045,2.309,0.136,0.060,0.121,0.151,0.121,0.015
JV14_17_3,5.08,1.008,0.079,0.866,1.402,0.031,0.835,0.126,0.126,0.047,0.047,0.157,0.031,0.047,2.614,0.142,0.063,0.142,0.173,0.142,0.016
JV14_18_1,5.41,1.582,0.133,1.878,1.420,0.192,1.198,0.370,0.207,0.118,0.163,0.251,0.104,0.118,6.861,0.296,0.133,0.148,0.281,0.251,0.015
JV14_18_2,5.11,1.628,0.141,1.691,1.409,0.094,1.018,0.250,0.219,0.110,0.110,0.266,0.094,0.094,7.530,0.297,0.141,0.141,0.266,0.219,0.016
JV14_18_3,5.89,1.290,0.109,1.426,1.263,0.054,0.842,0.149,0.136,0.081,0.081,0.217,0.081,0.068,6.492,0.258,0.109,0.122,0.244,0.177,0.014
JV14_19_1,5.24,1.008,0.092,1.893,2.076,0.046,1.191,0.473,0.214,0.092,0.076,0.198,0.031,0.061,1.496,0.687,0.046,0.183,0.229,0.183,0.015
JV14_19_2,5.14,0.840,0.078,1.743,1.946,0.031,1.012,0.218,0.156,0.062,0.062,0.171,0.016,0.047,1.292,0.296,0.047,0.109,0.187,0.140,0.000
JV14_19_3,5.44,1.250,0.132,2.426,2.706,0.118,1.765,0.206,0.191,0.088,0.074,0.221,0.029,0.059,2.265,0.324,0.059,0.118,0.221,0.191,0.015
JV14_20_1,5.35,1.002,0.090,0.957,1.346,0.030,1.032,0.209,0.150,0.075,0.075,0.135,0.045,0.060,2.034,0.344,0.045,0.120,0.209,0.135,0.015
JV14_20_2,5.37,0.670,0.074,0.685,0.909,0.015,0.730,0.194,0.104,0.045,0.060,0.104,0.030,0.045,1.356,0.194,0.045,0.089,0.149,0.104,0.015
JV14_20_3,5.51,0.944,0.087,0.929,1.176,0.015,0.900,0.218,0.145,0.058,0.058,0.131,0.044,0.058,2.062,0.261,0.058,0.116,0.174,0.131,0.015
JV14_21_1,5.11,1.221,0.094,1.127,1.378,0.078,1.221,0.141,0.157,0.063,0.063,0.172,0.031,0.063,2.489,0.266,0.063,0.157,0.204,0.188,0.016
JV14_21_2,5.29,1.301,0.091,1.301,1.648,0.060,1.164,0.136,0.166,0.076,0.076,0.197,0.045,0.076,3.403,0.272,0.076,0.166,0.242,0.227,0.000
JV14_21_3,5.13,1.029,0.078,0.967,1.076,0.047,0.873,0.094,0.140,0.047,0.062,0.156,0.031,0.047,2.417,0.203,0.062,0.125,0.172,0.156,0.000
JV14_22_1,5.2,0.631,0.077,0.615,0.492,0.046,0.400,0.108,0.138,0.046,0.046,0.138,0.046,0.046,1.831,0.231,0.062,0.138,0.123,0.123,0.015
JV14_22_2,5.15,0.761,0.078,0.528,0.419,0.109,0.357,0.217,0.140,0.047,0.062,0.140,0.031,0.047,1.118,0.388,0.062,0.140,0.124,0.109,0.016
JV14_22_3,5.51,0.929,0.087,1.132,0.653,0.145,0.494,0.203,0.174,0.058,0.058,0.160,0.058,0.044,1.554,0.377,0.087,0.174,0.160,0.145,0.015
JV14_23_1,5.53,1.259,0.116,1.215,1.259,0.116,0.477,0.405,0.217,0.116,0.087,0.275,0.058,0.101,2.662,0.535,0.101,0.145,0.362,0.231,0.014
JV14_23_2,5.85,1.217,0.150,1.176,1.190,0.109,0.492,0.246,0.191,0.109,0.082,0.274,0.068,0.096,3.091,0.287,0.096,0.096,0.369,0.219,0.014
JV14_23_3,5.14,1.494,0.156,1.292,1.136,0.062,0.623,0.545,0.218,0.125,0.109,0.311,0.078,0.109,3.144,0.654,0.093,0.187,0.405,0.249,0.016
JV14_24_1,5.12,1.125,0.188,1.203,1.328,0.063,0.641,0.438,0.266,0.109,0.078,0.375,0.047,0.063,6.359,0.609,0.047,0.313,0.234,0.156,0.016
JV14_24_2,5.17,1.099,0.201,1.284,1.191,0.077,0.573,0.155,0.294,0.093,0.062,0.418,0.046,0.046,5.818,0.263,0.077,0.217,0.186,0.139,0.015
JV14_24_3,5.77,0.943,0.194,1.345,1.331,0.042,0.582,0.222,0.222,0.097,0.055,0.388,0.055,0.055,6.308,0.347,0.055,0.250,0.208,0.139,0.014
