run	source_file	variable	start_value	end_value	display	module	baseline_end	log2fc_end	candidate_label	pathway_module	scenario_label	run_order	scenario_label_unique	run_display
asadh_half	asadh_half.txt	asp_Asp	1.5	0.5754043910127538	Asp	Asp-family	0.567947941498242	0.018817533217127688	Indian Chief aspartate-semialdehyde dehydrogenase	Asp-family commitment	ASADH x0.5	8	ASADH x0.5	ASADH x0.5
asadh_half	asadh_half.txt	asp_Ile	0	2.248195578255276e-5	Ile	Asp-family	2.370729394711176e-5	-0.07656344744489747	Indian Chief aspartate-semialdehyde dehydrogenase	Asp-family commitment	ASADH x0.5	8	ASADH x0.5	ASADH x0.5
asadh_half	asadh_half.txt	asp_Lys	0	3.68281034971391e-7	Lys	Asp-family	3.873231301054436e-7	-0.07273035998210099	Indian Chief aspartate-semialdehyde dehydrogenase	Asp-family commitment	ASADH x0.5	8	ASADH x0.5	ASADH x0.5
asadh_half	asadh_half.txt	asp_Thr	0	0.18024989738979383	Thr	Asp-family	0.1896870114350881	-0.07362245732522418	Indian Chief aspartate-semialdehyde dehydrogenase	Asp-family commitment	ASADH x0.5	8	ASADH x0.5	ASADH x0.5
asadh_half	asadh_half.txt	nh4_GLN	1	5.163970894365508e-4	Gln	N assimilation	5.162361628024267e-4	4.4966217759156106e-4	Indian Chief aspartate-semialdehyde dehydrogenase	Asp-family commitment	ASADH x0.5	8	ASADH x0.5	ASADH x0.5
asadh_half	asadh_half.txt	nh4_GLU	1	0.005134878757550914	Glu	N assimilation	0.005132793114462577	5.861011179384863e-4	Indian Chief aspartate-semialdehyde dehydrogenase	Asp-family commitment	ASADH x0.5	8	ASADH x0.5	ASADH x0.5
asadh_half	asadh_half.txt	nh4_NH4	0.05	0.1187945652374271	NH4	N assimilation	0.11881569193615592	-2.5654939251399474e-4	Indian Chief aspartate-semialdehyde dehydrogenase	Asp-family commitment	ASADH x0.5	8	ASADH x0.5	ASADH x0.5
asadh_half	asadh_half.txt	pyr_AcCoA	1.46	1.3487807196858304	AcCoA	Pyruvate / entry	1.348783045128357	-2.4873587380710887e-6	Indian Chief aspartate-semialdehyde dehydrogenase	Asp-family commitment	ASADH x0.5	8	ASADH x0.5	ASADH x0.5
asadh_half	asadh_half.txt	tca_akg	0.2	0.03551203823184478	2-OG	TCA / 2-OG	0.03550880507426684	1.313546894139391e-4	Indian Chief aspartate-semialdehyde dehydrogenase	Asp-family commitment	ASADH x0.5	8	ASADH x0.5	ASADH x0.5
asadh_half	asadh_half.txt	tca_oaa	0.004	0.003387726451071303	OAA	TCA / 2-OG	0.0033876863481532176	1.7078304376428807e-5	Indian Chief aspartate-semialdehyde dehydrogenase	Asp-family commitment	ASADH x0.5	8	ASADH x0.5	ASADH x0.5
asadh_x2	asadh_x2.txt	asp_Asp	1.5	0.5639589355462247	Asp	Asp-family	0.567947941498242	-0.010168580201339242	Indian Chief aspartate-semialdehyde dehydrogenase	Asp-family commitment	ASADH x2	9	ASADH x2	ASADH x2
asadh_x2	asadh_x2.txt	asp_Ile	0	2.4367679987782182e-5	Ile	Asp-family	2.370729394711176e-5	0.03963790222696845	Indian Chief aspartate-semialdehyde dehydrogenase	Asp-family commitment	ASADH x2	9	ASADH x2	ASADH x2
asadh_x2	asadh_x2.txt	asp_Lys	0	3.975484129417164e-7	Lys	Asp-family	3.873231301054436e-7	0.037592806276060216	Indian Chief aspartate-semialdehyde dehydrogenase	Asp-family commitment	ASADH x2	9	ASADH x2	ASADH x2
asadh_x2	asadh_x2.txt	asp_Thr	0	0.1947562835958304	Thr	Asp-family	0.1896870114350881	0.038048980481433764	Indian Chief aspartate-semialdehyde dehydrogenase	Asp-family commitment	ASADH x2	9	ASADH x2	ASADH x2
asadh_x2	asadh_x2.txt	nh4_GLN	1	5.161514746045682e-4	Gln	N assimilation	5.162361628024267e-4	-2.3669257298846024e-4	Indian Chief aspartate-semialdehyde dehydrogenase	Asp-family commitment	ASADH x2	9	ASADH x2	ASADH x2
asadh_x2	asadh_x2.txt	nh4_GLU	1	0.005131683835030623	Glu	N assimilation	0.005132793114462577	-3.118233786742852e-4	Indian Chief aspartate-semialdehyde dehydrogenase	Asp-family commitment	ASADH x2	9	ASADH x2	ASADH x2
asadh_x2	asadh_x2.txt	nh4_NH4	0.05	0.11882729648064393	NH4	N assimilation	0.11881569193615592	1.4089890814211292e-4	Indian Chief aspartate-semialdehyde dehydrogenase	Asp-family commitment	ASADH x2	9	ASADH x2	ASADH x2
asadh_x2	asadh_x2.txt	pyr_AcCoA	1.46	1.3487843061461149	AcCoA	Pyruvate / entry	1.348783045128357	1.3488182714047278e-6	Indian Chief aspartate-semialdehyde dehydrogenase	Asp-family commitment	ASADH x2	9	ASADH x2	ASADH x2
asadh_x2	asadh_x2.txt	tca_akg	0.2	0.03550701860379527	2-OG	TCA / 2-OG	0.03550880507426684	-7.258472709345103e-5	Indian Chief aspartate-semialdehyde dehydrogenase	Asp-family commitment	ASADH x2	9	ASADH x2	ASADH x2
asadh_x2	asadh_x2.txt	tca_oaa	0.004	0.0033876646203441427	OAA	TCA / 2-OG	0.0033876863481532176	-9.253130218245228e-6	Indian Chief aspartate-semialdehyde dehydrogenase	Asp-family commitment	ASADH x2	9	ASADH x2	ASADH x2
asp_kinase_x2	asp_kinase_x2.txt	asp_Asp	1.5	0.44471492997670936	Asp	Asp-family	0.567947941498242	-0.3528778576792184	Jarvis ask2 / aspartate kinase	Asp-family entry	Asp kinase x2	7	Asp kinase x2	Asp kinase x2
asp_kinase_x2	asp_kinase_x2.txt	asp_Ile	0	4.3021572585026587e-5	Ile	Asp-family	2.370729394711176e-5	0.8597292370459776	Jarvis ask2 / aspartate kinase	Asp-family entry	Asp kinase x2	7	Asp kinase x2	Asp kinase x2
asp_kinase_x2	asp_kinase_x2.txt	asp_Lys	0	3.643661642094981e-7	Lys	Asp-family	3.873231301054436e-7	-0.08814843017303203	Jarvis ask2 / aspartate kinase	Asp-family entry	Asp kinase x2	7	Asp kinase x2	Asp kinase x2
asp_kinase_x2	asp_kinase_x2.txt	asp_Thr	0	0.344220562108761	Thr	Asp-family	0.1896870114350881	0.8597123842146914	Jarvis ask2 / aspartate kinase	Asp-family entry	Asp kinase x2	7	Asp kinase x2	Asp kinase x2
asp_kinase_x2	asp_kinase_x2.txt	nh4_GLN	1	5.13542706731245e-4	Gln	N assimilation	5.162361628024267e-4	-0.007546949515959351	Jarvis ask2 / aspartate kinase	Asp-family entry	Asp kinase x2	7	Asp kinase x2	Asp kinase x2
asp_kinase_x2	asp_kinase_x2.txt	nh4_GLU	1	0.005098174622834238	Glu	N assimilation	0.005132793114462577	-0.009763322117441586	Jarvis ask2 / aspartate kinase	Asp-family entry	Asp kinase x2	7	Asp kinase x2	Asp kinase x2
asp_kinase_x2	asp_kinase_x2.txt	nh4_NH4	0.05	0.11915842204569985	NH4	N assimilation	0.11881569193615592	0.00415553912975729	Jarvis ask2 / aspartate kinase	Asp-family entry	Asp kinase x2	7	Asp kinase x2	Asp kinase x2
asp_kinase_x2	asp_kinase_x2.txt	pyr_AcCoA	1.46	1.3488216659103949	AcCoA	Pyruvate / entry	1.348783045128357	4.130924779082762e-5	Jarvis ask2 / aspartate kinase	Asp-family entry	Asp kinase x2	7	Asp kinase x2	Asp kinase x2
asp_kinase_x2	asp_kinase_x2.txt	tca_akg	0.2	0.03545687539159818	2-OG	TCA / 2-OG	0.03550880507426684	-0.002111406768435375	Jarvis ask2 / aspartate kinase	Asp-family entry	Asp kinase x2	7	Asp kinase x2	Asp kinase x2
asp_kinase_x2	asp_kinase_x2.txt	tca_oaa	0.004	0.003387020275275801	OAA	TCA / 2-OG	0.0033876863481532176	-2.836846208539425e-4	Jarvis ask2 / aspartate kinase	Asp-family entry	Asp kinase x2	7	Asp kinase x2	Asp kinase x2
baseline	baseline.txt	asp_Asp	1.5	0.567947941498242	Asp	Asp-family	0.567947941498242	0	NA	Baseline	Baseline	1	Baseline	Baseline
baseline	baseline.txt	asp_Ile	0	2.370729394711176e-5	Ile	Asp-family	2.370729394711176e-5	0	NA	Baseline	Baseline	1	Baseline	Baseline
baseline	baseline.txt	asp_Lys	0	3.873231301054436e-7	Lys	Asp-family	3.873231301054436e-7	0	NA	Baseline	Baseline	1	Baseline	Baseline
baseline	baseline.txt	asp_Thr	0	0.1896870114350881	Thr	Asp-family	0.1896870114350881	0	NA	Baseline	Baseline	1	Baseline	Baseline
baseline	baseline.txt	nh4_GLN	1	5.162361628024267e-4	Gln	N assimilation	5.162361628024267e-4	0	NA	Baseline	Baseline	1	Baseline	Baseline
baseline	baseline.txt	nh4_GLU	1	0.005132793114462577	Glu	N assimilation	0.005132793114462577	0	NA	Baseline	Baseline	1	Baseline	Baseline
baseline	baseline.txt	nh4_NH4	0.05	0.11881569193615592	NH4	N assimilation	0.11881569193615592	0	NA	Baseline	Baseline	1	Baseline	Baseline
baseline	baseline.txt	pyr_AcCoA	1.46	1.348783045128357	AcCoA	Pyruvate / entry	1.348783045128357	0	NA	Baseline	Baseline	1	Baseline	Baseline
baseline	baseline.txt	tca_akg	0.2	0.03550880507426684	2-OG	TCA / 2-OG	0.03550880507426684	0	NA	Baseline	Baseline	1	Baseline	Baseline
baseline	baseline.txt	tca_oaa	0.004	0.0033876863481532176	OAA	TCA / 2-OG	0.0033876863481532176	0	NA	Baseline	Baseline	1	Baseline	Baseline
gs_gogat_half	gs_gogat_half.txt	asp_Asp	1.5	0.5716935789190948	Asp	Asp-family	0.567947941498242	0.009483389106392686	Indian Chief GS plus GDH/Glu-Gln module	N assimilation and reassimilation	GS + GOGAT x0.5	6	GS + GOGAT x0.5	GS + GOGAT x0.5
gs_gogat_half	gs_gogat_half.txt	asp_Ile	0	2.370733682834595e-5	Ile	Asp-family	2.370729394711176e-5	2.6095127304429783e-6	Indian Chief GS plus GDH/Glu-Gln module	N assimilation and reassimilation	GS + GOGAT x0.5	6	GS + GOGAT x0.5	GS + GOGAT x0.5
gs_gogat_half	gs_gogat_half.txt	asp_Lys	0	3.873223860613708e-7	Lys	Asp-family	3.873231301054436e-7	-2.7713990470841623e-6	Indian Chief GS plus GDH/Glu-Gln module	N assimilation and reassimilation	GS + GOGAT x0.5	6	GS + GOGAT x0.5	GS + GOGAT x0.5
gs_gogat_half	gs_gogat_half.txt	asp_Thr	0	0.1896868556109612	Thr	Asp-family	0.1896870114350881	-1.1851459187823332e-6	Indian Chief GS plus GDH/Glu-Gln module	N assimilation and reassimilation	GS + GOGAT x0.5	6	GS + GOGAT x0.5	GS + GOGAT x0.5
gs_gogat_half	gs_gogat_half.txt	nh4_GLN	1	3.4974568452520805e-4	Gln	N assimilation	5.162361628024267e-4	-0.5617249494731964	Indian Chief GS plus GDH/Glu-Gln module	N assimilation and reassimilation	GS + GOGAT x0.5	6	GS + GOGAT x0.5	GS + GOGAT x0.5
gs_gogat_half	gs_gogat_half.txt	nh4_GLU	1	0.005809592019842384	Glu	N assimilation	0.005132793114462577	0.1786927419473775	Indian Chief GS plus GDH/Glu-Gln module	N assimilation and reassimilation	GS + GOGAT x0.5	6	GS + GOGAT x0.5	GS + GOGAT x0.5
gs_gogat_half	gs_gogat_half.txt	nh4_NH4	0.05	0.14172290141050328	NH4	N assimilation	0.11881569193615592	0.2543475215043488	Indian Chief GS plus GDH/Glu-Gln module	N assimilation and reassimilation	GS + GOGAT x0.5	6	GS + GOGAT x0.5	GS + GOGAT x0.5
gs_gogat_half	gs_gogat_half.txt	pyr_AcCoA	1.46	1.3490479348104658	AcCoA	Pyruvate / entry	1.348783045128357	2.833053922433203e-4	Indian Chief GS plus GDH/Glu-Gln module	N assimilation and reassimilation	GS + GOGAT x0.5	6	GS + GOGAT x0.5	GS + GOGAT x0.5
gs_gogat_half	gs_gogat_half.txt	tca_akg	0.2	0.03289140768161109	2-OG	TCA / 2-OG	0.03550880507426684	-0.11046605852839932	Indian Chief GS plus GDH/Glu-Gln module	N assimilation and reassimilation	GS + GOGAT x0.5	6	GS + GOGAT x0.5	GS + GOGAT x0.5
gs_gogat_half	gs_gogat_half.txt	tca_oaa	0.004	0.003383189376865722	OAA	TCA / 2-OG	0.0033876863481532176	-0.0019163722363259841	Indian Chief GS plus GDH/Glu-Gln module	N assimilation and reassimilation	GS + GOGAT x0.5	6	GS + GOGAT x0.5	GS + GOGAT x0.5
kdh_capacity_half	kdh_capacity_half.txt	asp_Asp	1.5	0.30477092055888333	Asp	Asp-family	0.567947941498242	-0.8980334414027634	TCA competition proxy	2-OG / TCA competition	KDH drain x0.5	14	KDH drain x0.5	KDH drain x0.5
kdh_capacity_half	kdh_capacity_half.txt	asp_Ile	0	2.370729555698548e-5	Ile	Asp-family	2.370729394711176e-5	9.796802018560856e-8	TCA competition proxy	2-OG / TCA competition	KDH drain x0.5	14	KDH drain x0.5	KDH drain x0.5
kdh_capacity_half	kdh_capacity_half.txt	asp_Lys	0	3.873230746372663e-7	Lys	Asp-family	3.873231301054436e-7	-2.0660646695892093e-7	TCA competition proxy	2-OG / TCA competition	KDH drain x0.5	14	KDH drain x0.5	KDH drain x0.5
kdh_capacity_half	kdh_capacity_half.txt	asp_Thr	0	0.18968699387728247	Thr	Asp-family	0.1896870114350881	-1.3353871773961196e-7	TCA competition proxy	2-OG / TCA competition	KDH drain x0.5	14	KDH drain x0.5	KDH drain x0.5
kdh_capacity_half	kdh_capacity_half.txt	nh4_GLN	1	3.898213127460335e-4	Gln	N assimilation	5.162361628024267e-4	-0.4052182367504007	TCA competition proxy	2-OG / TCA competition	KDH drain x0.5	14	KDH drain x0.5	KDH drain x0.5
kdh_capacity_half	kdh_capacity_half.txt	nh4_GLU	1	0.005941169184636781	Glu	N assimilation	0.005132793114462577	0.2110027606548117	TCA competition proxy	2-OG / TCA competition	KDH drain x0.5	14	KDH drain x0.5	KDH drain x0.5
kdh_capacity_half	kdh_capacity_half.txt	nh4_NH4	0.05	0.06708453941336487	NH4	N assimilation	0.11881569193615592	-0.8246731645658972	TCA competition proxy	2-OG / TCA competition	KDH drain x0.5	14	KDH drain x0.5	KDH drain x0.5
kdh_capacity_half	kdh_capacity_half.txt	pyr_AcCoA	1.46	1.3488258520794716	AcCoA	Pyruvate / entry	1.348783045128357	4.578675297046934e-5	TCA competition proxy	2-OG / TCA competition	KDH drain x0.5	14	KDH drain x0.5	KDH drain x0.5
kdh_capacity_half	kdh_capacity_half.txt	tca_akg	0.2	0.06949009600766488	2-OG	TCA / 2-OG	0.03550880507426684	0.9686305618168773	TCA competition proxy	2-OG / TCA competition	KDH drain x0.5	14	KDH drain x0.5	KDH drain x0.5
kdh_capacity_half	kdh_capacity_half.txt	tca_oaa	0.004	0.003385424003809475	OAA	TCA / 2-OG	0.0033876863481532176	-9.637737808222211e-4	TCA competition proxy	2-OG / TCA competition	KDH drain x0.5	14	KDH drain x0.5	KDH drain x0.5
nh4_half	nh4_half.txt	asp_Asp	1.5	0.5162889976611146	Asp	Asp-family	0.567947941498242	-0.13757984338319315	Indian Chief ammonium transporter / N-supply proxy	N supply and transport	External N x0.5	2	External N x0.5	External N x0.5
nh4_half	nh4_half.txt	asp_Ile	0	2.3707271865062352e-5	Ile	Asp-family	2.370729394711176e-5	-1.3437921991473936e-6	Indian Chief ammonium transporter / N-supply proxy	N supply and transport	External N x0.5	2	External N x0.5	External N x0.5
nh4_half	nh4_half.txt	asp_Lys	0	3.8732332734303437e-7	Lys	Asp-family	3.873231301054436e-7	7.346653603835887e-7	Indian Chief ammonium transporter / N-supply proxy	N supply and transport	External N x0.5	2	External N x0.5	External N x0.5
nh4_half	nh4_half.txt	asp_Thr	0	0.1896870415435192	Thr	Asp-family	0.1896870114350881	2.2899449180830215e-7	Indian Chief ammonium transporter / N-supply proxy	N supply and transport	External N x0.5	2	External N x0.5	External N x0.5
nh4_half	nh4_half.txt	nh4_GLN	1	3.005917939118561e-4	Gln	N assimilation	5.162361628024267e-4	-0.780225580495088	Indian Chief ammonium transporter / N-supply proxy	N supply and transport	External N x0.5	2	External N x0.5	External N x0.5
nh4_half	nh4_half.txt	nh4_GLU	1	0.004527678580941593	Glu	N assimilation	0.005132793114462577	-0.18097256637030146	Indian Chief ammonium transporter / N-supply proxy	N supply and transport	External N x0.5	2	External N x0.5	External N x0.5
nh4_half	nh4_half.txt	nh4_NH4	0.05	0.06286314797051762	NH4	N assimilation	0.11881569193615592	-0.9184389605399649	Indian Chief ammonium transporter / N-supply proxy	N supply and transport	External N x0.5	2	External N x0.5	External N x0.5
nh4_half	nh4_half.txt	pyr_AcCoA	1.46	1.3477067059583476	AcCoA	Pyruvate / entry	1.348783045128357	-0.0011517412700948152	Indian Chief ammonium transporter / N-supply proxy	N supply and transport	External N x0.5	2	External N x0.5	External N x0.5
nh4_half	nh4_half.txt	tca_akg	0.2	0.053813249287264914	2-OG	TCA / 2-OG	0.03550880507426684	0.5997846082199173	Indian Chief ammonium transporter / N-supply proxy	N supply and transport	External N x0.5	2	External N x0.5	External N x0.5
nh4_half	nh4_half.txt	tca_oaa	0.004	0.0034056062263964418	OAA	TCA / 2-OG	0.0033876863481532176	0.007611325185470067	Indian Chief ammonium transporter / N-supply proxy	N supply and transport	External N x0.5	2	External N x0.5	External N x0.5
nh4_x2	nh4_x2.txt	asp_Asp	1.5	0.6131440556535651	Asp	Asp-family	0.567947941498242	0.11046737159484574	Indian Chief ammonium transporter / N-supply proxy	N supply and transport	External N x2	3	External N x2	External N x2
nh4_x2	nh4_x2.txt	asp_Ile	0	2.3707322216923467e-5	Ile	Asp-family	2.370729394711176e-5	1.72034358749858e-6	Indian Chief ammonium transporter / N-supply proxy	N supply and transport	External N x2	3	External N x2	External N x2
nh4_x2	nh4_x2.txt	asp_Lys	0	3.873227727940265e-7	Lys	Asp-family	3.873231301054436e-7	-1.330905066819303e-6	Indian Chief ammonium transporter / N-supply proxy	N supply and transport	External N x2	3	External N x2	External N x2
nh4_x2	nh4_x2.txt	asp_Thr	0	0.18968693091134084	Thr	Asp-family	0.1896870114350881	-6.124364267326666e-7	Indian Chief ammonium transporter / N-supply proxy	N supply and transport	External N x2	3	External N x2	External N x2
