node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score	source	target
4577.A0A1D6MNB9	4577.B4FUH2	0.0	0.0	0.0	0.0	0.059	0.0	0.95	0.577	0.978	A0A1D6MNB9	Pco118382
4577.B6TD54	4577.A0A1D6MYM9	0.077	0.0	0.0	0.0	0.423	0.073	0.929	0.121	0.964	Pco080711	Pco128534b
4577.A0A1D6HNF9	4577.B4FZW5	0.0	0.0	0.0	0.0	0.503	0.136	0.837	0.484	0.959	A0A1D6HNF9	Pco104294
4577.B4FZW5	4577.B4FUH2	0.0	0.0	0.0	0.0	0.503	0.136	0.837	0.488	0.959	Pco104294	Pco118382
4577.A0A1D6GZS8	4577.A0A1D6MRL4	0.0	0.0	0.219	0.0	0.05	0.0	0.909	0.363	0.951	A0A1D6GZS8	A0A1D6MRL4
4577.A0A1D6GZS8	4577.B6TD54	0.081	0.0	0.0	0.0	0.402	0.072	0.862	0.152	0.929	A0A1D6GZS8	Pco080711
