bridge_metabolite	model_count	models
ADP	2	Chassagnole2001_Threonine Synthesis; Bruggeman2005_AmmoniumAssimilation
ATP	2	Chassagnole2001_Threonine Synthesis; Bruggeman2005_AmmoniumAssimilation
Aspartate	2	Chassagnole2001_Threonine Synthesis; Curien2009_Aspartate_Metabolism
Aspartyl_phosphate	2	Chassagnole2001_Threonine Synthesis; Curien2009_Aspartate_Metabolism
Homoserine	2	Chassagnole2001_Threonine Synthesis; Curien2009_Aspartate_Metabolism
NADP	2	Chassagnole2001_Threonine Synthesis; Bruggeman2005_AmmoniumAssimilation
NADPH	2	Chassagnole2001_Threonine Synthesis; Bruggeman2005_AmmoniumAssimilation
Threonine	2	Chassagnole2001_Threonine Synthesis; Curien2009_Aspartate_Metabolism
2_oxoglutarate	1	Bruggeman2005_AmmoniumAssimilation
Ammonium	1	Bruggeman2005_AmmoniumAssimilation
Aspartate_semialdehyde	1	Curien2009_Aspartate_Metabolism
Glutamate	1	Bruggeman2005_AmmoniumAssimilation
Glutamine	1	Bruggeman2005_AmmoniumAssimilation
Lysine	1	Curien2009_Aspartate_Metabolism
