file	model_name	organism	species_count	reaction_count	parameter_count	recommended_role	bridge_metabolites	source_path
BIOMD0000000017_Hoefnagel2002_PyruvateBranches.xml	Hoefnagel2002_PyruvateBranches	Lactococcus lactis	19	14	71	Hold_out_for_now		/Users/nirwantandukar/Documents/Research/data/Cell_designer/Grain_N/BIOMD0000000017_Hoefnagel2002_PyruvateBranches.xml
BIOMD0000000066_Chassagnole2001_Threonine Synthesis.xml	Chassagnole2001_Threonine Synthesis	Unknown_or_unspecified	11	7	47	Needs_manual_curation	ADP, ATP, Aspartate, Aspartyl_phosphate, Homoserine, NADP, NADPH, Threonine	/Users/nirwantandukar/Documents/Research/data/Cell_designer/Grain_N/BIOMD0000000066_Chassagnole2001_Threonine Synthesis.xml
BIOMD0000000212_Curien2009_Aspartate_Metabolism.xml	Curien2009_Aspartate_Metabolism	Arabidopsis	31	18	64	Backbone_for_plant_branch	Aspartate, Aspartate_semialdehyde, Aspartyl_phosphate, Homoserine, Lysine, Threonine	/Users/nirwantandukar/Documents/Research/data/Cell_designer/Grain_N/BIOMD0000000212_Curien2009_Aspartate_Metabolism.xml
BIOMD0000000217_Bruggeman2005_AmmoniumAssimilation.xml	Bruggeman2005_AmmoniumAssimilation	E. coli	22	16	98	Bacterial_connector_only	2_oxoglutarate, ADP, ATP, Ammonium, Glutamate, Glutamine, NADP, NADPH	/Users/nirwantandukar/Documents/Research/data/Cell_designer/Grain_N/BIOMD0000000217_Bruggeman2005_AmmoniumAssimilation.xml
BIOMD0000000222_Singh2006_TCA_Ecoli_glucose.xml	Singh2006_TCA_Ecoli_glucose	E. coli	12	11	49	Bacterial_connector_only		/Users/nirwantandukar/Documents/Research/data/Cell_designer/Grain_N/BIOMD0000000222_Singh2006_TCA_Ecoli_glucose.xml
