population,generation,biological_sample,bio_id,weight_mg,Ala,Arg,Asx,Glx,Gly,His,Ile,Leu,Lys,Met,Phe,Pro,Ser,Thr,Tyr,Val,Total_PBAA,Proline_fraction,Asx_fraction,Glx_fraction,N_rich_PBAA_pool,PBAA_N_pool_est,PBAA_N_per_mg_est
Indian Chief,G0,IC0_1,1,2.993333333333333,100.65666666666667,21.963333333333335,40.13666666666666,150.7,54.44,19.98,35.46333333333333,96.51333333333334,20.413333333333334,13.02,31.87333333333333,90.27666666666667,54.92333333333333,45.416666666666664,21.933333333333334,40.67,838.3799999999998,0.10767989058263162,0.047874074604196994,0.1797514253679716,253.1933333333333,1060.0616666666665,354.14086859688194
Indian Chief,G0,IC0_2,2,2.85,82.10333333333334,20.2,34.593333333333334,119.25999999999999,51.660000000000004,18.156666666666666,28.806666666666665,75.18333333333334,21.509999999999998,11.776666666666667,25.813333333333333,76.85,46.93666666666667,42.276666666666664,18.143333333333334,36.483333333333334,709.7533333333332,0.10827705399998122,0.04873993781877273,0.1680302076777848,213.71999999999997,905.1033333333331,317.58011695906424
Indian Chief,G0,IC0_3,3,3.0300000000000002,79.26666666666667,16.673333333333332,31.623333333333335,112.27,44.99333333333333,16.516666666666666,28.136666666666667,77.25,17.046666666666667,10.559999999999999,24.436666666666667,73.36666666666666,43.763333333333335,38.656666666666666,17.233333333333334,33.40333333333333,665.1966666666666,0.1102931964982787,0.047539825314819185,0.16877715362374035,194.13,837.2433333333332,276.31793179317924
Indian Chief,G0,IC0_4,4,3.0366666666666666,87.96333333333332,19.133333333333333,36.52,131.78333333333333,54.42333333333333,20.03,31.756666666666668,87.38666666666667,20.026666666666667,13.173333333333334,28.27,85.64333333333333,48.99,45.10666666666667,19.656666666666666,40.39666666666667,770.26,0.11118756437220333,0.04741256199205464,0.17108941569513325,227.49333333333334,971.8983333333332,320.05433589462126
Indian Chief,G0,IC0_5,5,3.0366666666666666,112.23666666666666,19.063333333333333,42.04,181.37333333333333,54.47333333333333,22.12666666666667,45.373333333333335,125.17666666666666,16.85333333333333,12.303333333333333,38.663333333333334,108.44666666666667,60.306666666666665,46.60666666666667,25.506666666666668,44.64333333333334,955.1933333333333,0.11353373488089673,0.04401203246812164,0.18988128057845186,281.45666666666665,1185.1966666666667,390.2952799121844
Indian Chief,G14,IC14_10,10,3.0700000000000003,74.44,20.104999999999997,32.59,104.905,52.575,17.979999999999997,26.034999999999997,68.655,21.439999999999998,14.535,22.925,70.285,42.22,40.655,17.455,35.41,662.21,0.10613702601893658,0.049213995560320745,0.15841651439875568,197.01999999999998,848.6724999999999,276.4405537459283
Indian Chief,G14,IC14_11,11,3.0100000000000002,87.69,21.426666666666666,40.72666666666667,116.55333333333334,61.989999999999995,18.603333333333335,31.696666666666665,80.94666666666667,25.326666666666664,12.396666666666667,27.633333333333333,86.08666666666667,49.416666666666664,47.836666666666666,17.89,42.333333333333336,768.5533333333334,0.11201131129481363,0.05299133436846716,0.15165288897755957,222.63666666666666,974.0066666666668,323.5902547065338
Indian Chief,G14,IC14_12,12,3.1399999999999997,142.81,20.134999999999998,50.51,208.10500000000002,60.485,23.195,57.885000000000005,157.83499999999998,19.619999999999997,14.02,47.96,125.455,73.925,57.845,30.104999999999997,54.29,1144.18,0.10964620951248928,0.04414515198657554,0.18188134734045344,321.565,1399.9025,445.828821656051
Indian Chief,G14,IC14_13,13,3.0033333333333334,118.26666666666667,23.76,52.25333333333333,165.50666666666666,67.94,22.73,46.62,118.1,28,14.213333333333333,39.32,106.44333333333333,63.97666666666667,56.27333333333333,25.483333333333334,52.416666666666664,1001.3033333333334,0.10630478276646103,0.05218531846826303,0.16529123708766238,292.25,1254.9233333333336,417.8435072142065
Indian Chief,G14,IC14_6,6,2.93,112.17,27.086666666666666,51.15,164.7,72.91,23.676666666666666,43.95666666666666,112.44666666666667,28.513333333333332,13.106666666666666,38.086666666666666,108.22,64.13666666666667,54.82666666666667,23.703333333333333,51,989.6900000000002,0.10934737139912495,0.051682850185411584,0.166415746344815,295.12666666666667,1254.7416666666668,428.2394766780433
Indian Chief,G14,IC14_7,7,3.1,82.94,19.453333333333333,36.35,121.31333333333333,53.806666666666665,19.28,30.986666666666668,82.25,20.856666666666666,13.426666666666668,26.5,88.42666666666666,48.376666666666665,43.91,18.240000000000002,38.57666666666667,744.6933333333334,0.11874239060373844,0.048812038960108856,0.16290374561340684,217.25333333333333,941.3016666666666,303.64569892473116
Indian Chief,G14,IC14_8,8,3.01,73.14999999999999,20.15,34.87,100.93333333333334,52.916666666666664,16.823333333333334,26.38,65.55333333333333,24.226666666666667,12.756666666666666,23.373333333333335,71.75333333333333,42.49666666666667,43.763333333333335,16.3,36.11666666666667,661.5633333333333,0.10846026331568155,0.052708483440738856,0.15256790733061587,197.00333333333333,847.7883333333333,281.6572535991141
Indian Chief,G14,IC14_9,9,3.12,131.59,25.3,51.10333333333333,193.65333333333334,71.43666666666667,22.91,51.27,133.49666666666667,27.68,17.43,43.42333333333333,110.59333333333333,70.42,57.593333333333334,28.200000000000003,54.00666666666667,1090.1066666666666,0.10145184569094157,0.04687920448151863,0.17764622422270604,320.6466666666667,1361.885,436.50160256410254
Jarvis,G0,JV0_14,14,3.1066666666666665,88.91,19.413333333333334,38.28333333333334,121.68666666666667,52.03666666666667,18.713333333333335,33.12,85.95,22.51,12.873333333333333,27.636666666666667,74.82666666666667,48.4,45.82666666666667,18.703333333333333,39.66,748.5500000000001,0.09996214904370672,0.05114332153274108,0.16256317769910714,220.60666666666665,946.7116666666668,304.7355150214593
Jarvis,G0,JV0_15,15,3.0666666666666664,140.27,19.683333333333334,51.13666666666667,198.41,59.79333333333334,22.946666666666665,58.07666666666667,154.76666666666668,20.006666666666668,16.176666666666666,45.556666666666665,120.68,70.95,58.06,29.376666666666665,54.95,1120.84,0.10766924806395205,0.045623520454896926,0.1770190214481996,312.18333333333334,1370.5633333333333,446.92282608695655
