population,generation,biological_sample,bio_id,FAA_weight_mg,Total_FAA,FAA_N_pool,FAA_N_per_mg,PBAA_weight_mg,Total_PBAA,PBAA_N_pool_est,PBAA_N_per_mg_est,Total_AA_N_pool_est,Total_AA_N_per_mg_est
Indian Chief,G0,IC0_1,1,5.456666666666667,6.862,8.281,1.5175931582162492,2.993333333333333,838.3799999999998,1060.0616666666665,354.14086859688194,1068.3426666666664,355.6584617550982
Indian Chief,G0,IC0_2,2,5.4366666666666665,8.687333333333333,9.839,1.8097486204782343,2.85,709.7533333333332,905.1033333333331,317.58011695906424,914.9423333333332,319.38986557954246
Indian Chief,G0,IC0_3,3,5.286666666666666,7.2666666666666675,9.187666666666665,1.7378940731399746,3.0300000000000002,665.1966666666666,837.2433333333332,276.31793179317924,846.4309999999999,278.0558258663192
Indian Chief,G0,IC0_4,4,5.58,5.962666666666666,8.18,1.4659498207885304,3.0366666666666666,770.26,971.8983333333332,320.05433589462126,980.0783333333331,321.5202857154098
Indian Chief,G0,IC0_5,5,5.43,9.31,12.068333333333332,2.222529158993247,3.0366666666666666,955.1933333333333,1185.1966666666667,390.2952799121844,1197.265,392.5178090711777
Indian Chief,G14,IC14_10,10,5.166666666666667,11.520333333333333,14.378333333333332,2.782903225806451,3.0700000000000003,662.21,848.6724999999999,276.4405537459283,863.0508333333332,279.2234569717348
Indian Chief,G14,IC14_11,11,5.63,15.991666666666669,18.445333333333334,3.276258140911782,3.0100000000000002,768.5533333333334,974.0066666666668,323.5902547065338,992.4520000000001,326.8665128474456
Indian Chief,G14,IC14_12,12,5.443333333333333,11.141666666666667,13.158333333333333,2.4173300673606857,3.1399999999999997,1144.18,1399.9025,445.828821656051,1413.0608333333332,448.2461517234117
Indian Chief,G14,IC14_13,13,5.263333333333334,17.380333333333333,23.019666666666666,4.37359088030399,3.0033333333333334,1001.3033333333334,1254.9233333333336,417.8435072142065,1277.9430000000002,422.2170980945105
Indian Chief,G14,IC14_6,6,5.553333333333333,13.439333333333332,16.411,2.955162064825931,2.93,989.6900000000002,1254.7416666666668,428.2394766780433,1271.1526666666668,431.1946387428692
Indian Chief,G14,IC14_7,7,5.583333333333334,13.149000000000001,15.720333333333336,2.815582089552239,3.1,744.6933333333334,941.3016666666666,303.64569892473116,957.0219999999999,306.46128101428343
Indian Chief,G14,IC14_8,8,5.64,11.395333333333335,14.193666666666672,2.5166075650118214,3.01,661.5633333333333,847.7883333333333,281.6572535991141,861.982,284.1738611641259
Indian Chief,G14,IC14_9,9,5.4366666666666665,13.321666666666667,14.950666666666669,2.749969343960761,3.12,1090.1066666666666,1361.885,436.50160256410254,1376.8356666666666,439.2515719080633
Jarvis,G0,JV0_14,14,5.3566666666666665,8.569,11.994666666666669,2.239203484754201,3.1066666666666665,748.5500000000001,946.7116666666668,304.7355150214593,958.7063333333335,306.97471850621355
Jarvis,G0,JV0_15,15,5.416666666666667,17.665000000000003,20.534,3.790892307692307,3.0666666666666664,1120.84,1370.5633333333333,446.92282608695655,1391.0973333333334,450.7137183946489
Jarvis,G0,JV0_16,16,5.47,13.998333333333333,16.11,2.9451553930530165,3.0633333333333335,1074.0733333333333,1343.5583333333334,438.5935799782372,1359.6683333333333,441.5387353712902
Jarvis,G14,JV14_17,17,5.163333333333333,8.833,10.463,2.0264041316978694,3.0300000000000002,965.6233333333333,1189.8016666666665,392.6738173817381,1200.2646666666665,394.70022151343596
Jarvis,G14,JV14_18,18,5.47,14.88866666666667,17.796999999999997,3.2535648994515536,3.0533333333333332,1058.6066666666666,1322.3883333333333,433.096615720524,1340.1853333333333,436.35018061997556
Jarvis,G14,JV14_19,19,5.273333333333333,10.400333333333332,13.409333333333331,2.5428571428571423,2.9899999999999998,638.7099999999999,831.2466666666668,278.0089186176143,844.6560000000001,280.55177576047146
Jarvis,G14,JV14_20,20,5.41,7.101666666666665,8.668333333333331,1.6022797288971038,3.0250000000000004,693.045,863.4249999999998,285.4297520661156,872.0933333333331,287.0320317950127
Jarvis,G14,JV14_21,21,5.176666666666667,9.232333333333333,11.239333333333331,2.1711526078557624,3.085,826.02,1026.485,332.7341977309562,1037.7243333333333,334.905350338812
Jarvis,G14,JV14_22,22,5.286666666666667,5.650666666666666,7.268666666666666,1.374905422446406,2.9033333333333333,808.2000000000002,1012.3783333333334,348.69517795637205,1019.6470000000002,350.0700833788185
Jarvis,G14,JV14_23,23,5.506666666666667,10.109666666666666,12.655666666666669,2.2982445520581116,3.01,635.4966666666669,795.4916666666668,264.28294573643416,808.1473333333334,266.5811902884923
Jarvis,G14,JV14_24,24,5.3533333333333335,12.921333333333333,15.816999999999998,2.954607721046077,3.05,1028.4633333333334,1271.375,416.844262295082,1287.192,419.7988700161281
