population,generation,biological_sample,bio_id,Ala,Arg,Asn,Asp,Gln,Glu,Gly,His,Ile,Leu,Lys,Met,Phe,Pro,Ser,Trp,Thr,Tyr,Val,Cys,Total_FAA,Proline_fraction,Asn_fraction,Asp_fraction,Gln_fraction,Glu_fraction,N_rich_FAA_pool
Indian Chief,G0,IC0_1,1,0.7683333333333333,0.06833333333333333,0.8243333333333334,0.6226666666666667,0.049,0.7503333333333333,0.09633333333333334,0.08266666666666667,0.034,0.039,0.12666666666666665,0.024333333333333332,0.034,2.962666666666667,0.07766666666666666,0.048666666666666664,0.073,0.09733333333333333,0.08266666666666667,0,6.862,0.4317497328281356,0.12013018556300399,0.09074128048188089,0.007140775284173711,0.10934615758282328,1.151
Indian Chief,G0,IC0_2,2,0.701,0.09333333333333334,0.39899999999999997,0.9873333333333333,0.04033333333333333,1.592,0.13866666666666666,0.08866666666666667,0.06433333333333333,0.059333333333333335,0.18133333333333335,0.014666666666666666,0.039,3.4033333333333333,0.166,0.07366666666666667,0.09766666666666667,0.40499999999999997,0.14266666666666666,0,8.687333333333333,0.3917581152636022,0.045928938684675,0.11365206047118409,0.004642774921341417,0.18325531425063313,0.8026666666666666
Indian Chief,G0,IC0_3,3,0.8166666666666667,0.111,1.0136666666666667,1.175,0.035333333333333335,0.9223333333333333,0.13066666666666665,0.12066666666666666,0.050333333333333334,0.05533333333333333,0.24233333333333335,0.030333333333333334,0.035333333333333335,1.9063333333333334,0.18766666666666668,0.05533333333333333,0.10133333333333333,0.126,0.141,0.01,7.2666666666666675,0.2623394495412844,0.1394954128440367,0.161697247706422,0.004862385321100917,0.12692660550458715,1.5230000000000001
Indian Chief,G0,IC0_4,4,0.7896666666666666,0.12433333333333334,1.079,0.7366666666666667,0.03333333333333333,1.1663333333333332,0.067,0.16733333333333333,0.043,0.048,0.33,0.028666666666666667,0.03833333333333333,0.6596666666666666,0.17200000000000001,0.06733333333333333,0.11966666666666667,0.163,0.12433333333333334,0.004999999999999999,5.962666666666666,0.11063282647584972,0.1809593023255814,0.12354651162790699,0.005590339892665474,0.19560599284436492,1.7340000000000002
Indian Chief,G0,IC0_5,5,0.7090000000000001,0.08866666666666667,2.045,0.8136666666666666,0.05366666666666667,0.8076666666666666,0.09833333333333333,0.09333333333333334,0.039,0.049,0.173,0.039,0.039,3.7743333333333333,0.10866666666666666,0.034,0.08866666666666667,0.13766666666666666,0.11833333333333333,0,9.31,0.405406373075546,0.21965628356605799,0.0873970640887934,0.0057644110275689225,0.08675259577515215,2.4536666666666664
Indian Chief,G14,IC14_10,10,1.156,0.18566666666666667,1.1863333333333332,1.3833333333333333,0.036,1.0216666666666667,0.29000000000000004,0.16,0.052,0.067,0.671,0.04666666666666667,0.056666666666666664,4.344666666666667,0.192,0.08766666666666667,0.12933333333333333,0.2733333333333333,0.181,0,11.520333333333333,0.37713029136888404,0.10297734440554382,0.12007754405254477,0.0031249095801626106,0.08868377651109632,2.239
Indian Chief,G14,IC14_11,11,1.2836666666666667,0.095,1.4076666666666666,1.3256666666666668,0.185,1.034,0.21266666666666667,0.13833333333333334,0.052,0.08,0.23800000000000002,0.028666666666666667,0.057,9.015,0.285,0.06133333333333334,0.133,0.208,0.13733333333333334,0.014333333333333333,15.991666666666669,0.5637311099531005,0.08802501302761853,0.08289734236581553,0.011568525273579988,0.06465867639395517,2.064
Indian Chief,G14,IC14_12,12,1.0556666666666668,0.10333333333333333,1.0363333333333333,0.539,0.034666666666666665,0.587,0.149,0.17133333333333334,0.039,0.05366666666666667,0.24433333333333332,0.029333333333333333,0.048666666666666664,6.4350000000000005,0.17666666666666667,0.048666666666666664,0.10633333333333334,0.16133333333333333,0.11733333333333333,0.004999999999999999,11.141666666666667,0.5775617053103964,0.09301421091997007,0.04837696335078534,0.0031114435302916975,0.05268511593118922,1.5899999999999999
Indian Chief,G14,IC14_13,13,1.1263333333333334,0.14666666666666667,3.998333333333333,0.829,0.04033333333333333,0.672,0.263,0.24233333333333332,0.050666666666666665,0.06566666666666666,0.6053333333333333,0.04033333333333333,0.05566666666666666,8.305333333333333,0.25766666666666665,0.07066666666666667,0.217,0.21233333333333335,0.17166666666666666,0.01,17.380333333333333,0.4778581154945245,0.2300492894267467,0.047697589229205424,0.0023206305978021135,0.03866439078652117,5.0329999999999995
Indian Chief,G14,IC14_6,6,0.8793333333333333,0.082,2.188,1.0333333333333332,0.042,0.5763333333333334,0.194,0.106,0.04766666666666666,0.067,0.24066666666666667,0.028666666666666667,0.05266666666666667,7.215333333333334,0.221,0.043,0.11499999999999999,0.17266666666666666,0.13466666666666668,0,13.439333333333332,0.5368817897713181,0.162805694726921,0.07688873456024604,0.003125155017610001,0.042884071630537236,2.6586666666666665
Indian Chief,G14,IC14_7,7,0.8426666666666667,0.10966666666666666,1.2890000000000001,0.949,0.117,0.8776666666666667,0.196,0.17133333333333334,0.052333333333333336,0.067,0.4413333333333333,0.014666666666666666,0.043,7.256,0.216,0.052333333333333336,0.10533333333333333,0.20533333333333334,0.13833333333333334,0.004999999999999999,13.149000000000001,0.5518290364286257,0.09803026846147997,0.07217278880523233,0.00889801505817933,0.06674778817147058,2.1283333333333334
