run	source_file	variable	start_value	end_value	display	module	baseline_end	log2fc_end	candidate_label	pathway_module	scenario_label	run_order	scenario_label_unique	run_display
asadh_half	asadh_half.txt	asp_Asp	1.5	-0.16960211477870574	Asp	Asp-family	-0.20430574106157923	-0.268575585806692	Indian Chief aspartate-semialdehyde dehydrogenase	Asp-family commitment	ASADH x0.5	8	ASADH x0.5	ASADH x0.5
asadh_half	asadh_half.txt	asp_Ile	0	1.3703922153298495e-4	Ile	Asp-family	1.4408426491075712e-4	-0.07232392924950624	Indian Chief aspartate-semialdehyde dehydrogenase	Asp-family commitment	ASADH x0.5	8	ASADH x0.5	ASADH x0.5
asadh_half	asadh_half.txt	asp_Lys	0	4.796094617844534e-7	Lys	Asp-family	5.04938065313841e-7	-0.07424616909050799	Indian Chief aspartate-semialdehyde dehydrogenase	Asp-family commitment	ASADH x0.5	8	ASADH x0.5	ASADH x0.5
asadh_half	asadh_half.txt	asp_Thr	0	0.7144406496268855	Thr	Asp-family	0.7510555486606968	-0.07210544653801854	Indian Chief aspartate-semialdehyde dehydrogenase	Asp-family commitment	ASADH x0.5	8	ASADH x0.5	ASADH x0.5
asadh_half	asadh_half.txt	nh4_GLN	1	1.7756205106058354e-21	Gln	N assimilation	-1.0948972796578803e-21	4.141281822714936e-9	Indian Chief aspartate-semialdehyde dehydrogenase	Asp-family commitment	ASADH x0.5	8	ASADH x0.5	ASADH x0.5
asadh_half	asadh_half.txt	nh4_GLU	1	3.471960697623579e-21	Glu	N assimilation	-9.331300067423648e-21	1.8471200883507954e-8	Indian Chief aspartate-semialdehyde dehydrogenase	Asp-family commitment	ASADH x0.5	8	ASADH x0.5	ASADH x0.5
asadh_half	asadh_half.txt	nh4_NH4	0.05	27.048095837261435	NH4	N assimilation	27.048839051576746	-3.964112234034399e-5	Indian Chief aspartate-semialdehyde dehydrogenase	Asp-family commitment	ASADH x0.5	8	ASADH x0.5	ASADH x0.5
asadh_half	asadh_half.txt	pyr_AcCoA	1.46	1.5618084393271954	AcCoA	Pyruvate / entry	1.5618084393271956	-1.6017132519074588e-16	Indian Chief aspartate-semialdehyde dehydrogenase	Asp-family commitment	ASADH x0.5	8	ASADH x0.5	ASADH x0.5
asadh_half	asadh_half.txt	tca_akg	0.2	3.1528992353109124e-21	2-OG	TCA / 2-OG	-1.0065992419683364e-20	1.907082946068298e-8	Indian Chief aspartate-semialdehyde dehydrogenase	Asp-family commitment	ASADH x0.5	8	ASADH x0.5	ASADH x0.5
asadh_half	asadh_half.txt	tca_oaa	0.004	9.71026565425516e-22	OAA	TCA / 2-OG	-3.113462314434189e-21	5.892671968496177e-9	Indian Chief aspartate-semialdehyde dehydrogenase	Asp-family commitment	ASADH x0.5	8	ASADH x0.5	ASADH x0.5
asadh_x2	asadh_x2.txt	asp_Asp	1.5	-0.22280285698825167	Asp	Asp-family	-0.20430574106157923	0.12503798752537293	Indian Chief aspartate-semialdehyde dehydrogenase	Asp-family commitment	ASADH x2	9	ASADH x2	ASADH x2
asadh_x2	asadh_x2.txt	asp_Ile	0	1.478542887731174e-4	Ile	Asp-family	1.4408426491075712e-4	0.03726330078390098	Indian Chief aspartate-semialdehyde dehydrogenase	Asp-family commitment	ASADH x2	9	ASADH x2	ASADH x2
asadh_x2	asadh_x2.txt	asp_Lys	0	5.185281200953118e-7	Lys	Asp-family	5.04938065313841e-7	0.038315713858264405	Indian Chief aspartate-semialdehyde dehydrogenase	Asp-family commitment	ASADH x2	9	ASADH x2	ASADH x2
asadh_x2	asadh_x2.txt	asp_Thr	0	0.7706352669702485	Thr	Asp-family	0.7510555486606968	0.03712859574003034	Indian Chief aspartate-semialdehyde dehydrogenase	Asp-family commitment	ASADH x2	9	ASADH x2	ASADH x2
asadh_x2	asadh_x2.txt	nh4_GLN	1	-9.929650591851114e-22	Gln	N assimilation	-1.0948972796578803e-21	1.4705713776193344e-10	Indian Chief aspartate-semialdehyde dehydrogenase	Asp-family commitment	ASADH x2	9	ASADH x2	ASADH x2
asadh_x2	asadh_x2.txt	nh4_GLU	1	-8.81786312133453e-21	Glu	N assimilation	-9.331300067423648e-21	7.407331154267192e-10	Indian Chief aspartate-semialdehyde dehydrogenase	Asp-family commitment	ASADH x2	9	ASADH x2	ASADH x2
