run	source_file	variable	start_value	end_value	display	module	baseline_end	log2fc_end	candidate_label	pathway_module	scenario_label	run_order	scenario_label_unique	run_display
akg_pool_half	akg_pool_half.txt	asp_Asp	1.5	0.524688501980675	Asp	Asp processes	0.5193735050326866	0.014688755892078657	2-OG-linked transaminase/GDH/omega-amidase axis	TCA / 2-OG hub	2-OG pool x0.5	29	2-OG pool x0.5	2-OG pool x0.5
akg_pool_half	akg_pool_half.txt	asp_Ile	0	2.370729738027177e-5	Ile	Asp processes	2.370727996290909e-5	1.059924736916553e-6	2-OG-linked transaminase/GDH/omega-amidase axis	TCA / 2-OG hub	2-OG pool x0.5	29	2-OG pool x0.5	2-OG pool x0.5
akg_pool_half	akg_pool_half.txt	asp_Lys	0	3.873230558972271e-7	Lys	Asp processes	3.873230524592584e-7	1.280566055276249e-8	2-OG-linked transaminase/GDH/omega-amidase axis	TCA / 2-OG hub	2-OG pool x0.5	29	2-OG pool x0.5	2-OG pool x0.5
akg_pool_half	akg_pool_half.txt	asp_Thr	0	0.1896869906685843	Thr	Asp processes	0.18968696780163957	1.739182515813432e-7	2-OG-linked transaminase/GDH/omega-amidase axis	TCA / 2-OG hub	2-OG pool x0.5	29	2-OG pool x0.5	2-OG pool x0.5
akg_pool_half	akg_pool_half.txt	nh4_GLN	1	4.5408788629369245e-4	Gln	N assimilation	4.504681186499556e-4	0.011546545851409174	2-OG-linked transaminase/GDH/omega-amidase axis	TCA / 2-OG hub	2-OG pool x0.5	29	2-OG pool x0.5	2-OG pool x0.5
akg_pool_half	akg_pool_half.txt	nh4_GLU	1	0.00568142283585316	Glu	N assimilation	0.005706683235054892	-0.006400206003417477	2-OG-linked transaminase/GDH/omega-amidase axis	TCA / 2-OG hub	2-OG pool x0.5	29	2-OG pool x0.5	2-OG pool x0.5
akg_pool_half	akg_pool_half.txt	nh4_NH4	0.05	0.08563579053398117	NH4	N assimilation	0.08425918838386179	0.023379861751959743	2-OG-linked transaminase/GDH/omega-amidase axis	TCA / 2-OG hub	2-OG pool x0.5	29	2-OG pool x0.5	2-OG pool x0.5
akg_pool_half	akg_pool_half.txt	tca_akg	0.1	0.0519914420561203	2-OG	TCA / 2-OG	0.053000289450655	-0.027726067732013363	2-OG-linked transaminase/GDH/omega-amidase axis	TCA / 2-OG hub	2-OG pool x0.5	29	2-OG pool x0.5	2-OG pool x0.5
akg_pool_x2	akg_pool_x2.txt	asp_Asp	1.5	0.5089795944895571	Asp	Asp processes	0.5193735050326866	-0.02916460088174341	2-OG-linked transaminase/GDH/omega-amidase axis	TCA / 2-OG hub	2-OG pool x2	30	2-OG pool x2	2-OG pool x2
akg_pool_x2	akg_pool_x2.txt	asp_Ile	0	2.370745934688052e-5	Ile	Asp processes	2.370727996290909e-5	1.0916282947152557e-5	2-OG-linked transaminase/GDH/omega-amidase axis	TCA / 2-OG hub	2-OG pool x2	30	2-OG pool x2	2-OG pool x2
akg_pool_x2	akg_pool_x2.txt	asp_Lys	0	3.8732013614549116e-7	Lys	Asp processes	3.873230524592584e-7	-1.0862654210205335e-5	2-OG-linked transaminase/GDH/omega-amidase axis	TCA / 2-OG hub	2-OG pool x2	30	2-OG pool x2	2-OG pool x2
akg_pool_x2	akg_pool_x2.txt	asp_Thr	0	0.18968649745784008	Thr	Asp processes	0.18968696780163957	-3.577280591146915e-6	2-OG-linked transaminase/GDH/omega-amidase axis	TCA / 2-OG hub	2-OG pool x2	30	2-OG pool x2	2-OG pool x2
akg_pool_x2	akg_pool_x2.txt	nh4_GLN	1	4.434024092900098e-4	Gln	N assimilation	4.504681186499556e-4	-0.02280839524498606	2-OG-linked transaminase/GDH/omega-amidase axis	TCA / 2-OG hub	2-OG pool x2	30	2-OG pool x2	2-OG pool x2
akg_pool_x2	akg_pool_x2.txt	nh4_GLU	1	0.00575556024160368	Glu	N assimilation	0.005706683235054892	0.012303881433124513	2-OG-linked transaminase/GDH/omega-amidase axis	TCA / 2-OG hub	2-OG pool x2	30	2-OG pool x2	2-OG pool x2
akg_pool_x2	akg_pool_x2.txt	nh4_NH4	0.05	0.08166170801448606	NH4	N assimilation	0.08425918838386179	-0.04517427648325013	2-OG-linked transaminase/GDH/omega-amidase axis	TCA / 2-OG hub	2-OG pool x2	30	2-OG pool x2	2-OG pool x2
akg_pool_x2	akg_pool_x2.txt	tca_akg	0.4	0.05501683662041455	2-OG	TCA / 2-OG	0.053000289450655	0.05387295070173167	2-OG-linked transaminase/GDH/omega-amidase axis	TCA / 2-OG hub	2-OG pool x2	30	2-OG pool x2	2-OG pool x2
asadh_half	asadh_half.txt	asp_Asp	1.5	0.5264485862326336	Asp	Asp processes	0.5193735050326866	0.01952022311652242	Indian Chief aspartate-semialdehyde dehydrogenase	Aspartate-family	ASADH x0.5	21	ASADH x0.5	ASADH x0.5
asadh_half	asadh_half.txt	asp_Ile	0	2.248196820449233e-5	Ile	Asp processes	2.370727996290909e-5	-0.07656179931225997	Indian Chief aspartate-semialdehyde dehydrogenase	Aspartate-family	ASADH x0.5	21	ASADH x0.5	ASADH x0.5
asadh_half	asadh_half.txt	asp_Lys	0	3.682810959491501e-7	Lys	Asp processes	3.873230524592584e-7	-0.07272983189544106	Indian Chief aspartate-semialdehyde dehydrogenase	Aspartate-family	ASADH x0.5	21	ASADH x0.5	ASADH x0.5
asadh_half	asadh_half.txt	asp_Thr	0	0.1802499368779266	Thr	Asp processes	0.18968696780163957	-0.07362180940651021	Indian Chief aspartate-semialdehyde dehydrogenase	Aspartate-family	ASADH x0.5	21	ASADH x0.5	ASADH x0.5
asadh_half	asadh_half.txt	nh4_GLN	1	4.506503467296212e-4	Gln	N assimilation	4.504681186499556e-4	5.83496088350078e-4	Indian Chief aspartate-semialdehyde dehydrogenase	Aspartate-family	ASADH x0.5	21	ASADH x0.5	ASADH x0.5
asadh_half	asadh_half.txt	nh4_GLU	1	0.005709576322395036	Glu	N assimilation	0.005706683235054892	7.312102227701192e-4	Indian Chief aspartate-semialdehyde dehydrogenase	Aspartate-family	ASADH x0.5	21	ASADH x0.5	ASADH x0.5
asadh_half	asadh_half.txt	nh4_NH4	0.05	0.08424519585872448	NH4	N assimilation	0.08425918838386179	-2.396014413751927e-4	Indian Chief aspartate-semialdehyde dehydrogenase	Aspartate-family	ASADH x0.5	21	ASADH x0.5	ASADH x0.5
asadh_half	asadh_half.txt	tca_akg	0.2	0.053003938337340295	2-OG	TCA / 2-OG	0.053000289450655	9.932114666506129e-5	Indian Chief aspartate-semialdehyde dehydrogenase	Aspartate-family	ASADH x0.5	21	ASADH x0.5	ASADH x0.5
asadh_x2	asadh_x2.txt	asp_Asp	1.5	0.5155903089776412	Asp	Asp processes	0.5193735050326866	-0.010547272133224359	Indian Chief aspartate-semialdehyde dehydrogenase	Aspartate-family	ASADH x2	22	ASADH x2	ASADH x2
asadh_x2	asadh_x2.txt	asp_Ile	0	2.4367705053547628e-5	Ile	Asp processes	2.370727996290909e-5	0.03964023725311654	Indian Chief aspartate-semialdehyde dehydrogenase	Aspartate-family	ASADH x2	22	ASADH x2	ASADH x2
asadh_x2	asadh_x2.txt	asp_Lys	0	3.975479477661338e-7	Lys	Asp processes	3.873230524592584e-7	0.037591407381225204	Indian Chief aspartate-semialdehyde dehydrogenase	Aspartate-family	ASADH x2	22	ASADH x2	ASADH x2
asadh_x2	asadh_x2.txt	asp_Thr	0	0.19475617892459324	Thr	Asp processes	0.18968696780163957	0.03804853696992429	Indian Chief aspartate-semialdehyde dehydrogenase	Aspartate-family	ASADH x2	22	ASADH x2	ASADH x2
asadh_x2	asadh_x2.txt	nh4_GLN	1	4.503709296961393e-4	Gln	N assimilation	4.504681186499556e-4	-3.112965011676289e-4	Indian Chief aspartate-semialdehyde dehydrogenase	Aspartate-family	ASADH x2	22	ASADH x2	ASADH x2
asadh_x2	asadh_x2.txt	nh4_GLU	1	0.005705138342863826	Glu	N assimilation	0.005706683235054892	-3.9061394375396375e-4	Indian Chief aspartate-semialdehyde dehydrogenase	Aspartate-family	ASADH x2	22	ASADH x2	ASADH x2
asadh_x2	asadh_x2.txt	nh4_NH4	0.05	0.08426672088573181	NH4	N assimilation	0.08425918838386179	1.2896655650827644e-4	Indian Chief aspartate-semialdehyde dehydrogenase	Aspartate-family	ASADH x2	22	ASADH x2	ASADH x2
asadh_x2	asadh_x2.txt	tca_akg	0.2	0.05299836416546498	2-OG	TCA / 2-OG	0.053000289450655	-5.24082014522201e-5	Indian Chief aspartate-semialdehyde dehydrogenase	Aspartate-family	ASADH x2	22	ASADH x2	ASADH x2
